Feature, Feature Value,Fisher Test p-value, Feature Selection (thereshold = 0.0025),Rank of Statistic Significancy, Rank of Feature Selection, Frequency in Reference , Frequency in Targeting 
Germ LV,IGKV1-110*01,0.5125619910246685,0.008199963633803292,,43,2.02%,5.56%,
Germ LV,IGKV1-110*02,1.0,5.977353498926337e-05,,,0.20%,0.00%,
Germ LV,IGKV1-117*01,0.5067046275054611,0.012017879914743203,,30,1.82%,5.56%,
Germ LV,IGKV1-117*02,1.0,0.0,,,0.61%,0.00%,
Germ LV,IGKV1-133*01,1.0,0.0009773170218637403,,,0.40%,0.00%,
Germ LV,IGKV1-17*01,1.0,0.0,,,0.20%,0.00%,
Germ LV,IGKV1-27*01,1.0,0.0,,,0.20%,0.00%,
Germ LV,IGKV1-39*01,1.0,0.001991271632133151,,,4.44%,0.00%,
Germ LV,IGKV1-5*01,1.0,0.0,,,0.40%,0.00%,
Germ LV,IGKV1-5*03,1.0,0.0001522210343193998,,,1.41%,0.00%,
Germ LV,IGKV1-88*01,0.4234326530239189,0.0068964953073458925,,55,0.40%,5.56%,
Germ LV,IGKV1-9*01,1.0,8.413385818455223e-05,,,0.81%,0.00%,
Germ LV,IGKV1-NL1*01,1.0,0.0,,,0.40%,0.00%,
Germ LV,IGKV10-94*02,0.2870240986175628,0.013685027766631714,,22,2.63%,11.11%,
Germ LV,IGKV10-94*05,1.0,8.435493526044531e-05,,,0.20%,0.00%,
Germ LV,IGKV10-96*02,1.0,0.0007177538652514356,,,2.83%,0.00%,
Germ LV,IGKV10-96*04,1.0,5.193301626206037e-05,,,1.21%,0.00%,
Germ LV,IGKV12-41*01,0.16396134757931094,0.004577638017792274,,66,0.61%,11.11%,
Germ LV,IGKV12-44*01,1.0,0.0009995353485840678,,,1.82%,0.00%,
Germ LV,IGKV12-46*01,1.0,0.00031680755520355203,,,1.82%,0.00%,
Germ LV,IGKV12S24*01,1.0,1.8946822659543332e-05,,,0.20%,0.00%,
Germ LV,IGKV13-84*01,1.0,4.588140931512585e-05,,,0.20%,0.00%,
Germ LV,IGKV14-100*01,1.0,0.00016456156624646996,,,0.81%,0.00%,
Germ LV,IGKV14-111*01,0.4564901609527379,0.008096068964869961,,44,1.21%,5.56%,
Germ LV,IGKV14-126*01,1.0,0.0,,,0.20%,0.00%,
Germ LV,IGKV16-104*01,1.0,7.431749241658235e-05,,,0.40%,0.00%,
Germ LV,IGKV17-121*01,1.0,7.587541612405344e-05,,,0.20%,0.00%,
Germ LV,IGKV17-127*01,1.0,0.0,,,0.20%,0.00%,
Germ LV,IGKV19-93*02,1.0,6.251858339777781e-05,,,0.61%,0.00%,
Germ LV,IGKV1D-13*01,1.0,6.738068496004499e-05,,,0.81%,0.00%,
Germ LV,IGKV1D-33*01,1.0,0.00018695331721732729,,,2.22%,0.00%,
Germ LV,IGKV1S10*01,1.0,0.0,,,0.20%,0.00%,
Germ LV,IGKV1S11*01,1.0,2.8002743125857183e-05,,,0.20%,0.00%,
Germ LV,IGKV1S12*01,1.0,4.4048520923520935e-05,,,0.20%,0.00%,
Germ LV,IGKV1S14*01,1.0,0.0,,,0.20%,0.00%,
Germ LV,IGKV1S15*01,1.0,0.0,,,0.20%,0.00%,
Germ LV,IGKV1S17*01,1.0,1.611457558594122e-05,,,0.61%,0.00%,
Germ LV,IGKV1S2*01,1.0,5.2983350209852116e-05,,,1.01%,0.00%,
Germ LV,IGKV1S2*02,1.0,0.00015379351034288267,,,0.61%,0.00%,
Germ LV,IGKV1S22*01,1.0,0.0,,,0.20%,0.00%,
Germ LV,IGKV1S24*01,1.0,2.9295692563137305e-05,,,0.20%,0.00%,
Germ LV,IGKV1S3*01,1.0,0.0,,,0.40%,0.00%,
Germ LV,IGKV1S3*02,1.0,6.681930839445316e-05,,,0.20%,0.00%,
Germ LV,IGKV1S5*01,1.0,0.0,,,0.20%,0.00%,
Germ LV,IGKV2-109*01,0.13782251538482626,0.026429358415241917,,8,0.81%,11.11%,
